cell_id,cell_cognate_id,cell_romance_aligned,cell_romance_comment
INF,prs.act.inf,INF,
GER,ger.act.abl,GER,it might also come from the accusative?
PRS.PTCP.SG,prs.act.ptcp.acc.m.sg,,it might also come from the feminine (they are syncretic)
PRS.PTCP.PL,prs.act.ptcp.acc.m.pl,,it might also come from the feminine (they are syncretic)
PST.PTCP.M.SG,prf.pass.ptcp.acc.m.sg,PST-PTCP,no distinction for gender-number in ODRVM
PST.PTCP.F.SG,prf.pass.ptcp.acc.f.sg,PST-PTCP,no distinction for gender-number in ODRVM
PST.PTCP.M.PL,prf.pass.ptcp.acc.m.pl,PST-PTCP,no distinction for gender-number in ODRVM
PST.PTCP.F.PL,prf.pass.ptcp.acc.f.pl,PST-PTCP,no distinction for gender-number in ODRVM
IMP.2SG,prs.act.imp.2.sg,IMP~2SG,
IMP.1PL,prs.act.sbjv.1.pl,PRS-SBJV~1PL,cf. Rohlfs (p. 353)
IMP.2PL,prs.act.imp.2.pl,IMP~2PL,it might also come from prs.act.ind.2.pl but it is impossible to know for sure according to Rohlfs (p. 352, fn. 1)
PRS.IND.1SG,prs.act.ind.1.sg,PRS-IND~1SG,
PRS.IND.2SG,prs.act.ind.2.sg,PRS-IND~2SG,
PRS.IND.3SG,prs.act.ind.3.sg,PRS-IND~3SG,
PRS.IND.1PL,prs.act.sbjv.1.pl,PRS-SBJV~1PL,cf. Rohlfs (p. 250)
PRS.IND.2PL,prs.act.ind.2.pl,PRS-IND~2PL,
PRS.IND.3PL,prs.act.ind.3.pl,PRS-IND~3PL,
PRS.SBJV.1SG,prs.act.sbjv.1.sg,PRS-SBJV~1SG,
PRS.SBJV.2SG,prs.act.sbjv.2.sg,PRS-SBJV~2SG,
PRS.SBJV.3SG,prs.act.sbjv.3.sg,PRS-SBJV~3SG,
PRS.SBJV.1PL,prs.act.sbjv.1.pl,PRS-SBJV~1PL,
PRS.SBJV.2PL,prs.act.sbjv.2.pl,PRS-SBJV~2PL,
PRS.SBJV.3PL,prs.act.sbjv.3.pl,PRS-SBJV~3PL,
IPRF.IND.1SG,iprf.act.ind.1.sg,IMPERF-IND~1SG,
IPRF.IND.2SG,iprf.act.ind.2.sg,IMPERF-IND~2SG,
IPRF.IND.3SG,iprf.act.ind.3.sg,IMPERF-IND~3SG,
IPRF.IND.1PL,iprf.act.ind.1.pl,IMPERF-IND~1PL,
IPRF.IND.2PL,iprf.act.ind.2.pl,IMPERF-IND~2PL,
IPRF.IND.3PL,iprf.act.ind.3.pl,IMPERF-IND~3PL,
IPRF.SBJV.1SG,pprf.act.sbjv.1.sg,CONT_LAT_PLUP-SBJV~1SG,
IPRF.SBJV.2SG,pprf.act.sbjv.2.sg,CONT_LAT_PLUP-SBJV~2SG,
IPRF.SBJV.3SG,pprf.act.sbjv.3.sg,CONT_LAT_PLUP-SBJV~3SG,
IPRF.SBJV.1PL,pprf.act.sbjv.1.pl,CONT_LAT_PLUP-SBJV~1PL,
IPRF.SBJV.2PL,pprf.act.sbjv.2.pl,CONT_LAT_PLUP-SBJV~2PL,
IPRF.SBJV.3PL,pprf.act.sbjv.3.pl,CONT_LAT_PLUP-SBJV~3PL,
PRET.IND.1SG,prf.act.ind.1.sg,PRET~1SG,
PRET.IND.2SG,prf.act.ind.2.sg,PRET~2SG,
PRET.IND.3SG,prf.act.ind.3.sg,PRET~3SG,
PRET.IND.1PL,prf.act.ind.1.pl,PRET~1PL,
PRET.IND.2PL,prf.act.ind.2.pl,PRET~2PL,
PRET.IND.3PL,prf.act.ind.3.pl,PRET~3PL,
FUT.IND.1SG,_,ROM_FUT~1SG,
FUT.IND.2SG,_,ROM_FUT~2SG,
FUT.IND.3SG,_,ROM_FUT~3SG,
FUT.IND.1PL,_,ROM_FUT~1PL,
FUT.IND.2PL,_,ROM_FUT~2PL,
FUT.IND.3PL,_,ROM_FUT~3PL,
COND.1SG,_,ROM_COND~1SG,< periphrase with the perfect of HABERE (not the imperfect)
COND.2SG,_,ROM_COND~2SG,< periphrase with the perfect of HABERE (not the imperfect)
COND.3SG,_,ROM_COND~3SG,< periphrase with the perfect of HABERE (not the imperfect)
COND.1PL,_,ROM_COND~1PL,< periphrase with the perfect of HABERE (not the imperfect)
COND.2PL,_,ROM_COND~2PL,< periphrase with the perfect of HABERE (not the imperfect)
COND.3PL,_,ROM_COND~3PL,< periphrase with the perfect of HABERE (not the imperfect)
